   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      1    1360    1360    1360 ?             -1 Ss    1000   0:00 /lib/systemd/systemd --user
   1360    1361    1360    1360 ?             -1 S     1000   0:00 (sd-pam)
   1360    1366    1366    1366 ?             -1 S<sl  1000   0:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1360    1369    1369    1369 ?             -1 SNsl  1000   0:00 /usr/libexec/tracker-miner-fs
      1    1371    1370    1370 ?             -1 Sl    1000   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
   1360    1375    1375    1375 ?             -1 Ss    1000   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1349    1380    1380    1380 tty2        1380 Ssl+  1000   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1380    1382    1380    1380 tty2        1380 Sl+   1000   2:54 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
   1360    1384    1384    1384 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfsd
   1360    1390    1384    1384 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1360    1411    1411    1411 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1360    1418    1418    1418 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1360    1422    1422    1422 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-goa-volume-monitor
   1360    1426    1375    1375 ?             -1 Sl    1000   0:00 /usr/libexec/goa-daemon
   1380    1430    1380    1380 tty2        1380 Sl+   1000   0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
   1360    1448    1375    1375 ?             -1 Sl    1000   0:00 /usr/libexec/goa-identity-service
   1360    1466    1466    1466 ?             -1 Ssl   1000   0:01 /usr/libexec/gvfs-afc-volume-monitor
   1360    1480    1480    1480 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-mtp-volume-monitor
      1    1525    1522    1522 ?             -1 S     1000   0:00 /usr/bin/VBoxClient --clipboard
   1525    1528    1522    1522 ?             -1 Sl    1000   0:00 /usr/bin/VBoxClient --clipboard
      1    1536    1534    1534 ?             -1 S     1000   0:00 /usr/bin/VBoxClient --seamless
   1536    1538    1534    1534 ?             -1 Sl    1000   0:00 /usr/bin/VBoxClient --seamless
      1    1543    1539    1539 ?             -1 S     1000   0:00 /usr/bin/VBoxClient --draganddrop
   1543    1544    1539    1539 ?             -1 Sl    1000   0:49 /usr/bin/VBoxClient --draganddrop
      1    1549    1546    1546 ?             -1 S     1000   0:00 /usr/bin/VBoxClient --vmsvga
   1549    1551    1546    1546 ?             -1 Sl    1000   0:00 /usr/bin/VBoxClient --vmsvga
   1430    1558    1558    1558 ?             -1 Ss    1000   0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1360    1575    1575    1575 ?             -1 Ssl   1000   0:00 /usr/libexec/at-spi-bus-launcher
